LIPID,Mock_0hr_M_1_001,Mock_0hr_M_2_087,Mock_0hr_M_3_045,Mock_0hr_M_4_101,Mock_0hr_M_5_109,Mock_3hr_M_1_035,Mock_3hr_M_2_003,Mock_3hr_M_3_074,Mock_3hr_M_4_013,Mock_3hr_M_5_100,Mock_7hr_M_1_018,Mock_7hr_M_2_038,Mock_7hr_M_3_086,Mock_7hr_M_4_119,Mock_7hr_M_5_076,Mock_12hr_M_1_110,Mock_12hr_M_2_002,Mock_12hr_M_3_075,Mock_12hr_M_4_054,Mock_12hr_M_5_090,Mock_18hr_M_1_082,Mock_18hr_M_2_037,Mock_18hr_M_3_043,Mock_18hr_M_4_115,Mock_18hr_M_5_007,Mock_24hr_M_1_069,Mock_24hr_M_2_081,Mock_24hr_M_3_060,Mock_24hr_M_4_004,Mock_24hr_M_5_111,FM_0hr_M_1_099,FM_0hr_M_2_073,FM_0hr_M_3_011,FM_0hr_M_4_027,FM_0hr_M_5_051,FM_3hr_M_1_107,FM_3hr_M_2_044,FM_3hr_M_3_080,FM_3hr_M_4_012,FM_3hr_M_5_049,FM_7hr_M_1_046,FM_7hr_M_2_070,FM_7hr_M_3_010,FM_7hr_M_4_088,FM_7hr_M_5_097,FM_12hr_M_1_031,FM_12hr_M_2_094,FM_12hr_M_3_068,FM_12hr_M_4_117,FM_12hr_M_5_028,FM_18hr_M_1_103,FM_18hr_M_2_093,FM_18hr_M_3_056,FM_18hr_M_4_019,FM_18hr_M_5_084,FM_24hr_M_1_114,FM_24hr_M_2_030,FM_24hr_M_3_091,FM_24hr_M_4_067,FM_24hr_M_5_041,AH1_0hr_M_1_089,AH1_0hr_M_2_039,AH1_0hr_M_3_098,AH1_0hr_M_4_006,AH1_0hr_M_5_014,AH1_3hr_M_1_022,AH1_3hr_M_2_059,AH1_3hr_M_3_083,AH1_3hr_M_5_116,AH1_7hr_M_1_020,AH1_7hr_M_2_061,AH1_7hr_M_3_120,AH1_7hr_M_4_047,AH1_7hr_M_5_050,AH1_12hr_M_1_029,AH1_12hr_M_2_036,AH1_12hr_M_3_085,AH1_12hr_M_4_108,AH1_12hr_M_5_066,AH1_18hr_M_1_025,AH1_18hr_M_2_077,AH1_18hr_M_3_113,AH1_18hr_M_4_040,AH1_18hr_M_5_064,AH1_24hr_M_1_017,AH1_24hr_M_2_092,AH1_24hr_M_3_063,AH1_24hr_M_4_112,AH1_24hr_M_5_057,691_0hr_M_1_062,691_0hr_M_2_015,691_0hr_M_3_095,691_0hr_M_4_032,691_0hr_M_5_058,691_3hr_M_1_023,691_3hr_M_2_021,691_3hr_M_3_118,691_3hr_M_4_034,691_3hr_M_5_065,691_7hr_M_1_016,691_7hr_M_2_055,691_7hr_M_3_078,691_7hr_M_4_026,691_7hr_M_5_102,691_12hr_M_1_052,691_12hr_M_2_008,691_12hr_M_3_005,691_12hr_M_4_072,691_12hr_M_5_105,691_18hr_M_1_042,691_18hr_M_2_096,691_18hr_M_3_053,691_18hr_M_4_009,691_18hr_M_5_079,691_24hr_M_1_104,691_24hr_M_2_071,691_24hr_M_3_033,691_24hr_M_4_024,691_24hr_M_5_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(14:0/18:2)_CoE,20.504,19.841,19.684,19.766,19.712,20.402,20.241,20.473,20.174,20.147,20.354,20.409,20.153,20.181,20.529,20.755,20.487,20.309,20.378,20.778,20.377,20.109,20.240,20.290,20.285,20.020,19.959,20.329,20.219,19.937,19.568,20.113,20.005,19.583,20.274,20.946,20.405,20.233,20.333,20.340,20.297,20.264,20.448,20.334,20.747,20.687,20.059,20.208,20.100,20.300,20.427,20.362,20.445,20.792,20.122,19.956,20.138,20.239,19.759,19.954,19.662,19.473,19.597,19.908,19.639,20.301,20.261,20.557,20.379,20.607,20.728,20.790,20.575,20.300,20.009,19.976,20.598,20.190,20.327,19.860,19.763,20.272,20.446,19.832,20.244,20.241,19.666,20.313,20.733,19.917,20.064,19.865,20.218,19.867,20.411,20.224,20.132,20.304,20.208,20.331,20.192,20.656,20.683,20.502,20.311,20.327,19.972,20.427,20.324,20.162,20.076,20.136,19.862,20.522,19.907,19.844,19.847,19.699,19.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(14:0/20:4),16.011,15.471,15.492,15.641,15.548,15.878,15.702,16.205,15.564,15.668,15.681,15.430,15.460,15.390,15.876,15.866,15.637,15.538,15.995,15.839,15.891,15.682,15.812,15.766,15.761,15.313,15.330,15.729,15.570,15.504,15.108,15.715,15.596,15.214,15.668,16.201,15.741,15.679,15.541,15.739,15.547,15.624,15.705,15.634,15.703,15.941,15.580,15.354,15.317,15.481,15.791,15.752,15.884,16.106,15.423,15.443,15.610,15.368,15.026,15.345,15.365,15.371,15.487,15.790,15.372,15.784,15.736,15.889,15.834,16.025,15.922,15.990,15.975,15.595,15.473,15.275,15.863,15.525,15.738,15.347,15.167,15.822,15.729,15.224,15.682,15.806,15.223,15.887,16.130,15.457,15.346,15.144,15.662,15.338,15.852,15.702,15.533,15.649,15.736,15.516,15.331,15.878,15.731,15.752,15.700,15.542,15.147,15.435,15.429,15.509,15.574,15.542,15.397,15.710,15.294,15.258,15.233,14.859,15.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/16:0)_A,17.441,16.819,16.814,16.646,16.576,17.192,16.840,17.237,17.218,16.866,16.943,17.315,16.935,16.936,17.212,17.270,17.157,16.876,17.408,17.466,17.501,17.067,17.541,17.273,17.054,16.962,16.829,17.303,16.956,17.240,16.465,16.888,16.636,16.436,17.150,17.884,17.202,16.895,17.006,17.258,16.912,17.398,17.175,17.326,17.349,17.501,16.869,17.303,16.660,17.116,17.413,17.367,17.573,18.002,16.901,16.902,17.164,17.268,17.012,16.902,16.257,16.338,16.898,17.032,16.696,17.349,16.807,17.047,17.012,17.540,17.603,17.450,17.340,16.821,16.819,16.647,17.289,17.159,17.055,16.899,16.959,17.526,17.296,16.876,17.189,17.867,16.826,17.431,17.821,16.856,17.021,16.688,17.567,16.849,17.252,17.041,16.726,17.023,17.169,17.091,16.908,17.504,17.199,17.096,16.972,17.026,16.673,17.544,16.983,17.031,17.091,17.124,17.109,17.659,17.098,17.163,16.862,17.134,17.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/16:0)_B,19.234,18.358,18.214,18.732,18.760,18.395,17.998,18.492,18.406,18.052,17.890,18.121,17.702,17.497,17.647,17.938,17.626,17.559,18.095,17.863,18.020,17.704,18.222,18.011,18.146,17.713,17.708,18.029,17.793,17.643,18.654,19.028,18.828,18.178,18.707,18.878,18.472,18.092,17.984,18.143,17.580,18.195,18.099,18.046,18.148,18.176,18.000,18.135,17.542,17.732,17.947,18.062,18.040,18.222,17.746,17.885,17.869,17.827,17.574,17.944,18.335,18.576,18.578,18.872,18.862,18.214,18.135,18.366,18.390,18.137,18.192,18.207,17.910,17.838,17.900,17.511,17.989,17.538,17.704,17.478,17.418,18.111,17.997,17.373,17.760,17.821,17.238,17.506,17.917,18.906,19.086,18.731,19.049,18.442,18.347,18.101,18.225,18.299,18.470,17.968,17.554,18.274,17.822,18.010,17.850,17.688,17.509,18.076,17.599,17.910,17.605,17.840,17.842,18.239,18.099,17.880,17.754,17.822,17.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/16:1),17.068,16.399,16.018,15.872,15.938,16.142,15.563,16.342,15.991,15.885,15.866,15.929,15.418,15.712,16.017,15.807,15.786,15.410,15.821,16.010,16.205,15.707,15.520,15.846,15.795,15.313,15.016,15.770,15.840,15.872,15.592,16.427,16.228,15.917,16.554,17.084,16.258,15.894,16.146,16.421,15.496,15.781,15.720,15.914,16.193,16.242,15.450,16.015,15.286,15.788,15.904,15.719,15.885,16.852,15.430,15.603,15.607,15.907,15.027,15.671,16.003,15.744,16.030,16.398,15.740,16.152,15.979,16.108,16.085,16.188,16.345,16.370,16.198,15.562,15.742,15.071,15.903,15.721,15.612,15.114,15.247,16.190,15.850,15.325,15.673,15.990,15.034,15.793,16.561,16.060,16.423,15.855,16.604,16.161,16.130,16.045,15.553,15.724,16.195,15.865,15.797,16.247,16.059,16.138,15.772,15.719,15.078,16.168,15.273,15.579,15.502,15.410,15.317,16.481,15.443,15.348,15.293,15.109,15.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/18:1)_CoE,22.029,21.744,21.657,21.256,21.381,21.435,21.099,21.611,21.626,21.096,21.192,21.427,20.776,20.295,21.166,21.011,21.049,20.519,21.202,21.245,21.373,19.972,21.437,21.016,20.896,20.475,20.367,21.330,20.869,20.932,21.295,21.980,21.584,21.242,21.913,22.189,21.614,20.926,21.400,21.466,20.617,21.416,20.893,21.317,21.378,21.657,20.963,21.245,20.628,21.058,20.947,20.770,21.363,21.581,20.659,20.824,20.900,21.121,20.307,20.041,21.227,21.267,21.724,21.917,21.652,21.690,21.082,21.228,21.420,21.410,21.702,21.425,21.328,20.850,20.830,20.460,21.068,20.872,20.581,20.571,20.072,21.328,20.770,20.682,20.536,20.912,20.275,21.197,21.244,21.885,22.049,21.078,22.054,21.898,21.754,21.530,21.035,21.116,21.769,21.047,20.601,21.740,21.314,20.757,21.006,21.055,20.509,21.190,20.676,20.941,21.120,20.648,20.598,21.290,20.848,20.929,20.637,21.143,20.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/18:2)_CoE,20.916,21.231,21.138,21.629,20.545,18.737,20.359,21.057,18.522,20.514,21.474,20.831,20.382,20.276,20.955,21.140,20.798,20.334,20.875,20.362,20.664,19.929,19.247,20.952,21.638,21.065,19.926,19.108,20.551,19.979,20.973,21.209,21.787,18.638,21.045,20.561,20.971,20.398,21.146,20.781,20.182,18.792,21.501,20.553,20.824,19.169,19.030,19.115,18.989,20.989,20.997,21.218,20.698,20.531,20.212,20.881,21.081,20.159,20.195,19.775,20.597,21.784,21.329,20.866,21.079,20.976,18.345,21.256,21.387,21.057,20.474,19.064,18.925,18.787,21.151,18.786,21.238,20.992,20.975,19.269,20.003,20.651,20.741,20.886,19.418,20.080,19.079,20.391,20.263,21.180,21.200,20.933,21.112,21.587,20.557,21.312,20.684,21.303,20.852,20.866,20.286,20.583,21.096,21.011,21.332,21.008,20.649,20.824,20.381,20.939,20.940,20.425,21.455,20.633,20.517,20.436,21.376,20.667,20.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:0/18:2)_CoE,17.883,17.253,17.012,17.013,17.201,18.041,17.398,17.998,17.615,17.694,17.460,17.570,17.349,17.256,17.546,17.797,17.431,17.356,17.488,17.704,17.583,17.379,17.317,17.424,17.065,16.885,16.972,17.316,17.241,17.055,16.709,17.472,17.327,16.860,17.709,18.260,17.931,17.695,17.407,17.652,16.943,17.567,17.442,17.952,17.800,18.080,17.037,17.543,16.890,17.188,17.265,17.325,17.479,17.800,17.041,16.922,16.960,17.124,16.433,16.894,16.950,16.686,17.057,17.253,16.821,17.224,17.644,17.606,17.508,17.641,18.220,18.115,17.871,17.349,16.651,16.819,17.585,17.281,17.368,16.683,16.791,17.016,17.488,16.756,17.144,17.172,16.415,17.058,17.775,16.877,17.593,17.260,17.733,17.231,17.778,17.580,17.622,17.378,18.054,17.853,17.365,18.221,17.542,17.679,17.505,17.236,17.045,17.524,17.200,17.119,16.898,16.993,16.662,17.741,16.858,16.862,16.721,16.866,16.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(15:1/18:1)_CoE,18.807,21.231,21.138,21.629,20.545,20.891,20.359,21.057,20.710,20.514,21.474,18.966,20.382,20.276,20.955,21.140,20.798,20.334,20.875,20.362,19.433,19.929,20.759,20.952,21.638,19.691,19.926,20.302,20.551,18.998,20.973,21.209,21.787,20.834,21.045,18.841,20.971,20.398,21.146,20.781,20.182,20.699,21.501,18.719,20.824,20.663,20.683,20.840,20.525,20.989,19.790,21.218,20.698,19.728,20.212,20.881,21.081,19.322,20.195,19.775,20.597,21.784,21.329,20.866,21.079,20.976,20.430,21.256,21.387,21.057,19.029,20.891,20.786,20.557,19.137,20.794,21.238,20.992,19.414,20.741,20.003,20.651,19.566,20.886,20.465,20.080,19.983,20.391,20.263,21.180,21.200,20.933,21.112,21.587,20.557,21.312,20.684,21.303,18.743,19.142,18.690,20.583,21.096,21.011,19.658,19.209,18.820,19.175,18.761,19.357,19.247,19.244,19.757,19.548,20.517,20.436,21.376,20.667,20.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/16:0),23.076,23.043,23.034,22.718,22.777,22.629,22.251,22.054,22.835,22.373,21.672,22.783,22.195,22.270,22.506,22.346,22.831,22.401,23.112,22.487,23.316,22.673,23.557,23.295,22.513,22.406,22.554,23.202,23.186,22.691,22.792,23.048,22.461,22.977,23.122,23.307,22.057,22.370,22.626,22.878,22.334,22.961,22.196,22.846,22.987,22.837,23.046,22.963,22.462,22.804,22.387,22.363,23.412,23.137,22.619,23.339,22.447,22.716,22.606,22.579,22.863,22.261,23.243,23.134,23.485,22.843,22.410,21.903,21.879,22.747,23.087,22.425,22.761,22.357,22.997,22.375,22.184,22.743,21.986,22.702,22.516,23.138,22.300,22.862,22.222,22.643,22.268,22.677,22.684,23.154,23.544,22.890,23.039,23.386,22.723,23.004,22.683,22.197,22.935,22.130,22.548,22.981,22.813,21.968,22.266,22.996,22.462,23.029,22.732,23.189,23.233,22.908,22.243,23.185,23.226,23.331,22.342,23.287,23.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/16:1)_CoE,24.845,24.361,24.203,24.416,24.185,24.236,23.883,24.205,24.002,23.908,24.336,24.326,23.909,23.698,24.216,24.193,23.898,23.659,24.025,24.139,24.380,23.667,24.183,24.067,24.117,23.846,23.388,24.115,23.896,24.046,24.169,24.576,24.437,24.271,24.474,24.596,24.212,23.806,24.237,23.995,23.895,23.988,24.322,24.038,24.314,24.065,24.100,23.996,23.907,23.995,24.191,24.159,24.104,24.388,23.642,23.974,24.000,24.054,23.696,23.428,24.330,24.286,24.475,24.402,24.390,24.436,24.044,24.295,24.405,24.376,24.117,24.217,24.151,23.831,24.360,23.989,24.036,24.078,23.825,23.945,23.353,24.330,23.819,24.014,23.730,24.050,23.309,24.123,24.357,24.391,24.412,24.278,24.785,24.409,24.222,24.259,23.968,24.146,24.161,24.164,23.727,24.141,24.215,23.855,24.068,24.025,23.862,24.310,23.695,24.032,24.060,23.677,24.123,24.090,23.700,23.842,23.907,23.970,23.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/17:1)_CoE,22.029,21.744,21.657,21.256,21.381,21.435,21.099,21.611,21.626,21.096,21.192,21.427,20.776,20.295,21.166,21.011,21.049,20.519,21.202,21.245,21.373,19.972,21.437,21.016,20.896,20.475,20.367,21.330,20.869,20.932,21.295,21.980,21.584,21.242,21.913,22.189,21.614,20.926,21.400,21.466,20.617,21.416,20.893,21.317,21.378,21.657,20.963,21.245,20.628,21.058,20.947,20.770,21.363,21.581,20.659,20.824,20.900,21.121,20.307,20.041,21.227,21.267,21.724,21.917,21.652,21.690,21.082,21.228,21.420,21.410,21.702,21.425,21.328,20.850,20.830,20.460,21.068,20.872,20.581,20.571,20.072,21.328,20.770,20.682,20.536,20.912,20.275,21.197,21.244,21.885,22.049,21.078,22.054,21.898,21.754,21.530,21.035,21.116,21.769,21.047,20.601,21.740,21.314,20.757,21.006,21.055,20.509,21.190,20.676,20.941,21.120,20.648,20.598,21.290,20.848,20.929,20.637,21.143,20.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/18:0),20.220,19.717,19.813,20.601,20.439,19.905,19.750,20.096,19.544,19.762,19.431,19.402,19.455,19.468,18.715,20.043,19.195,19.527,19.318,19.646,19.338,19.981,19.475,19.103,20.364,20.394,19.957,19.953,19.447,19.364,20.324,20.546,20.546,20.254,19.140,20.042,19.902,19.675,19.397,19.506,19.551,19.495,20.385,19.295,19.663,19.840,19.150,19.560,19.677,19.197,20.497,20.324,19.924,20.366,20.251,19.958,20.737,20.087,20.310,20.219,20.168,20.421,19.989,19.950,20.130,19.561,19.868,20.092,20.187,18.979,19.075,19.618,19.213,19.511,19.141,19.634,20.062,19.113,20.008,20.180,19.955,19.965,20.433,19.632,20.314,19.431,19.958,19.188,20.414,20.121,20.189,20.492,19.955,20.195,19.900,19.663,19.709,20.240,19.671,19.513,19.467,19.016,19.161,19.970,20.291,19.329,19.727,19.857,19.726,19.526,19.682,20.334,20.413,20.364,19.369,19.930,20.538,19.887,20.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/18:1),25.495,25.946,25.823,25.738,25.164,25.462,24.801,25.453,25.458,24.948,25.191,25.700,24.777,24.713,25.897,25.105,25.567,24.477,25.409,24.760,25.388,24.429,25.460,25.553,25.134,24.868,24.227,24.934,25.267,24.482,25.112,25.552,25.590,25.211,25.667,25.512,25.275,24.806,26.057,25.467,24.842,25.389,25.220,25.296,25.690,25.159,25.906,25.308,24.699,25.646,25.078,25.143,25.453,25.048,24.428,25.534,24.930,24.426,24.418,24.224,25.256,25.413,26.164,25.344,26.213,25.757,24.770,25.446,25.479,25.971,25.257,25.238,25.627,24.944,26.042,24.892,25.118,25.645,24.867,24.802,24.353,25.366,24.927,25.569,24.640,24.799,24.244,25.076,24.887,25.766,25.654,25.226,25.488,26.310,25.411,25.859,24.931,25.406,25.395,25.291,24.718,25.265,25.840,25.119,25.123,25.723,24.726,25.202,24.572,25.459,25.702,24.686,24.968,25.099,25.191,25.067,25.077,25.097,24.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/18:2)_CoE,24.656,24.236,23.825,24.125,24.151,24.771,24.368,24.853,24.650,24.402,24.831,24.871,24.334,24.031,24.680,24.761,24.565,24.262,24.885,24.704,24.752,24.007,24.698,24.628,24.660,24.154,23.870,24.483,24.233,24.140,23.958,23.794,24.387,23.721,24.419,25.110,24.878,24.277,24.363,24.557,24.270,24.846,24.829,24.733,24.791,24.995,22.856,24.812,24.180,24.541,24.702,24.722,24.652,24.963,24.232,24.225,24.435,24.189,23.863,23.882,23.130,23.968,23.996,24.376,24.213,24.692,24.472,24.758,24.689,24.949,24.984,25.086,24.759,24.391,24.677,24.105,24.839,24.370,24.478,24.026,23.895,23.350,24.610,24.120,24.302,24.506,23.965,24.621,24.611,24.452,24.637,24.191,24.721,24.104,24.847,24.511,24.385,24.564,23.626,24.839,24.198,24.884,24.683,24.726,24.749,24.444,24.100,24.841,24.345,24.572,24.204,24.336,24.507,24.781,24.364,24.189,24.154,23.094,24.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/18:3),19.359,18.394,18.236,18.136,18.334,19.380,18.956,19.445,19.183,18.929,19.018,19.330,18.670,18.878,19.204,19.429,19.110,18.861,19.043,19.522,19.453,19.128,19.185,18.981,18.954,18.877,18.690,19.453,18.881,19.151,18.111,18.675,18.579,18.147,18.968,20.220,19.480,19.010,18.892,19.239,18.810,19.110,19.247,19.477,19.296,19.784,18.754,19.011,18.535,18.773,19.459,19.315,19.110,20.027,18.811,18.571,19.017,19.148,18.455,18.786,18.195,17.884,18.226,18.947,18.103,18.942,19.195,19.381,19.084,19.338,20.096,19.725,19.348,18.777,18.408,18.390,19.432,18.820,18.994,18.389,18.420,19.086,19.565,18.491,19.069,19.109,18.345,18.916,19.522,18.507,18.903,18.366,18.954,18.375,19.480,18.795,18.842,19.026,19.423,19.153,18.803,19.997,19.145,19.255,19.264,18.950,18.451,19.379,18.940,18.807,18.848,18.817,18.647,19.695,18.662,18.797,18.587,18.690,18.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/20:1),23.806,23.618,23.417,23.947,23.557,23.623,23.298,23.793,23.128,23.140,23.434,22.852,22.945,23.068,23.150,23.172,22.750,22.685,22.742,22.752,22.405,22.661,22.561,22.757,23.280,23.034,22.428,22.670,22.793,22.285,23.458,23.847,24.128,23.598,23.459,23.241,23.717,23.144,23.399,23.404,22.903,22.942,23.611,22.606,23.192,22.974,22.422,22.676,22.617,22.678,23.343,23.382,22.855,23.125,22.746,22.800,23.031,22.608,22.588,22.613,23.513,23.925,23.597,23.575,23.292,23.376,23.247,23.852,23.824,23.178,22.762,23.318,23.346,22.905,22.349,22.552,23.288,22.721,23.161,22.698,22.572,22.846,23.143,22.837,23.047,22.522,22.543,22.598,23.033,23.711,23.609,23.371,23.756,23.718,23.402,23.410,23.244,23.882,23.221,23.335,22.766,22.649,23.097,23.313,23.308,22.765,22.512,22.808,22.765,22.725,22.767,22.801,23.169,22.933,22.461,22.343,23.136,22.410,22.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/20:5),16.608,15.697,15.571,15.634,15.574,16.178,15.872,16.238,16.233,15.796,15.929,16.293,15.732,15.985,16.220,16.506,16.113,16.130,16.241,16.385,16.807,16.500,16.496,16.502,16.347,16.243,16.095,16.670,16.264,16.517,15.251,15.775,15.841,15.361,16.163,16.984,16.330,15.966,15.798,16.139,15.600,16.054,16.092,16.399,16.302,16.502,15.829,16.084,15.583,15.843,16.691,16.414,16.550,16.983,16.091,15.999,16.185,16.484,15.887,16.252,15.510,15.251,15.826,16.132,15.469,15.944,16.165,16.275,15.991,16.151,16.939,16.543,16.283,15.712,15.878,15.491,16.663,15.856,16.262,15.775,15.866,16.415,16.346,15.760,16.247,16.652,15.859,16.400,16.996,15.766,16.037,15.666,16.096,15.653,16.385,15.825,15.841,15.838,16.337,16.005,15.785,16.807,16.140,16.197,16.225,15.883,15.514,16.245,16.025,16.044,16.149,16.277,15.826,17.065,16.119,16.186,15.844,16.022,16.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC(16:0/22:6),18.997,18.355,18.184,17.829,18.106,18.388,18.078,18.557,18.382,18.156,17.681,17.941,17.858,17.812,18.229,18.223,18.082,17.928,18.304,18.370,18.576,18.157,18.590,18.367,17.907,17.970,17.774,18.311,18.103,18.253,17.734,18.353,18.003,17.749,18.322,19.094,18.431,18.075,17.861,18.213,17.656,18.136,17.885,18.033,18.193,18.448,17.575,17.972,17.550,17.955,18.132,18.126,18.295,18.893,17.999,17.814,18.028,18.242,17.698,17.743,18.150,17.647,18.095,18.413,17.951,18.437,18.048,18.224,17.989,18.182,18.513,18.466,18.301,17.711,17.470,17.571,18.403,17.909,17.793,17.708,17.537,18.457,18.296,17.562,18.244,18.492,17.662,18.350,18.789,18.018,18.340,17.820,18.471,17.707,18.336,18.040,17.805,18.026,18.246,17.791,17.794,18.529,18.029,18.027,17.831,17.660,17.489,18.277,17.798,17.940,17.958,18.004,17.887,18.770,17.881,17.942,17.610,17.876,17.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
