LIPIDS,Mock_0hr_M_1_001,Mock_0hr_M_2_087,Mock_0hr_M_3_045,Mock_0hr_M_4_101,Mock_0hr_M_5_109,Mock_3hr_M_1_035,Mock_3hr_M_2_003,Mock_3hr_M_3_074,Mock_3hr_M_4_013,Mock_3hr_M_5_100,Mock_7hr_M_1_018,Mock_7hr_M_2_038,Mock_7hr_M_3_086,Mock_7hr_M_4_119,Mock_7hr_M_5_076,Mock_12hr_M_1_110,Mock_12hr_M_2_002,Mock_12hr_M_3_075,Mock_12hr_M_4_054,Mock_12hr_M_5_090,Mock_18hr_M_1_082,Mock_18hr_M_2_037,Mock_18hr_M_3_043,Mock_18hr_M_4_115,Mock_18hr_M_5_007,Mock_24hr_M_1_069,Mock_24hr_M_2_081,Mock_24hr_M_3_060,Mock_24hr_M_4_004,Mock_24hr_M_5_111,FM_0hr_M_1_099,FM_0hr_M_2_073,FM_0hr_M_3_011,FM_0hr_M_4_027,FM_0hr_M_5_051,FM_3hr_M_1_107,FM_3hr_M_2_044,FM_3hr_M_3_080,FM_3hr_M_4_012,FM_3hr_M_5_049,FM_7hr_M_1_046,FM_7hr_M_2_070,FM_7hr_M_3_010,FM_7hr_M_4_088,FM_7hr_M_5_097,FM_12hr_M_1_031,FM_12hr_M_2_094,FM_12hr_M_3_068,FM_12hr_M_4_117,FM_12hr_M_5_028,FM_18hr_M_1_103,FM_18hr_M_2_093,FM_18hr_M_3_056,FM_18hr_M_4_019,FM_18hr_M_5_084,FM_24hr_M_1_114,FM_24hr_M_2_030,FM_24hr_M_3_091,FM_24hr_M_4_067,FM_24hr_M_5_041,AH1_0hr_M_1_089,AH1_0hr_M_2_039,AH1_0hr_M_3_098,AH1_0hr_M_4_006,AH1_0hr_M_5_014,AH1_3hr_M_1_022,AH1_3hr_M_2_059,AH1_3hr_M_3_083,AH1_3hr_M_4_106,AH1_3hr_M_5_116,AH1_7hr_M_1_020,AH1_7hr_M_2_061,AH1_7hr_M_3_120,AH1_7hr_M_4_047,AH1_7hr_M_5_050,AH1_12hr_M_1_029,AH1_12hr_M_2_036,AH1_12hr_M_3_085,AH1_12hr_M_4_108,AH1_12hr_M_5_066,AH1_18hr_M_1_025,AH1_18hr_M_2_077,AH1_18hr_M_3_113,AH1_18hr_M_4_040,AH1_18hr_M_5_064,AH1_24hr_M_1_017,AH1_24hr_M_2_092,AH1_24hr_M_3_063,AH1_24hr_M_4_112,AH1_24hr_M_5_057,691_0hr_M_1_062,691_0hr_M_2_015,691_0hr_M_3_095,691_0hr_M_4_032,691_0hr_M_5_058,691_3hr_M_1_023,691_3hr_M_2_021,691_3hr_M_3_118,691_3hr_M_4_034,691_3hr_M_5_065,691_7hr_M_1_016,691_7hr_M_2_055,691_7hr_M_3_078,691_7hr_M_4_026,691_7hr_M_5_102,691_12hr_M_1_052,691_12hr_M_2_008,691_12hr_M_3_005,691_12hr_M_4_072,691_12hr_M_5_105,691_18hr_M_1_042,691_18hr_M_2_096,691_18hr_M_3_053,691_18hr_M_4_009,691_18hr_M_5_079,691_24hr_M_1_104,691_24hr_M_2_071,691_24hr_M_3_033,691_24hr_M_4_024,691_24hr_M_5_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/18:0),13.412,13.676,14.452,14.281,14.366,13.858,14.351,13.393,14.582,14.237,12.852,13.821,13.791,14.445,14.020,13.338,13.984,14.399,14.177,14.064,13.610,14.791,14.373,13.961,14.097,13.210,14.481,14.926,13.730,11.211,14.906,14.758,12.692,14.878,13.003,14.583,13.763,14.520,14.013,13.797,14.527,14.726,14.227,14.375,14.527,14.665,14.163,14.798,14.931,14.342,13.258,13.903,14.521,14.532,14.422,14.303,13.302,13.306,14.817,14.991,14.022,14.011,14.275,13.999,13.745,14.139,13.976,14.120,14.870,13.733,13.083,13.827,13.650,13.539,14.504,14.737,14.472,14.023,13.373,14.267,14.308,14.980,14.628,13.992,14.186,13.721,13.654,14.810,14.126,14.517,14.351,14.820,14.724,13.134,14.792,14.227,14.241,14.336,14.083,13.902,13.592,14.632,14.050,14.301,13.009,13.446,14.272,14.854,14.465,14.627,14.438,14.495,14.632,13.590,14.411,13.891,14.420,13.010,14.736,15.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/18:1),21.765,21.872,21.954,21.418,21.686,21.769,21.577,21.416,21.940,21.656,21.584,21.640,21.588,21.575,21.941,21.511,21.806,21.795,21.761,21.658,21.861,21.668,21.848,21.774,21.494,21.516,21.684,22.033,21.411,21.539,21.767,21.961,21.355,21.964,21.712,22.024,21.816,21.522,21.581,21.598,21.630,21.853,21.346,21.663,21.782,22.077,22.063,22.058,22.068,22.129,21.630,21.508,21.645,21.307,21.598,21.740,21.300,21.458,21.705,21.546,21.657,21.724,21.856,21.550,21.767,21.982,21.552,21.770,22.116,21.603,21.610,21.657,21.787,21.673,21.907,22.134,21.569,21.472,21.842,21.869,21.769,21.719,21.716,21.606,21.749,21.514,21.672,21.621,21.763,21.840,21.959,21.892,21.751,21.729,22.640,21.903,22.060,21.740,21.618,21.679,21.755,21.760,21.587,21.879,21.735,21.605,22.029,21.943,21.668,21.739,22.023,21.848,21.632,21.472,21.636,21.651,21.772,21.603,21.993,21.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/18:2)_CoE,20.691,20.743,20.879,20.398,20.812,20.826,18.497,20.523,21.122,18.463,20.638,20.866,18.832,20.538,18.949,20.424,19.232,19.481,19.332,20.644,19.850,20.751,20.895,19.514,20.535,20.614,19.612,21.130,19.286,20.604,20.759,21.156,20.583,21.129,20.835,21.205,21.054,20.811,18.296,18.123,20.527,20.868,20.444,20.602,18.837,21.043,21.124,20.942,19.677,19.453,20.763,20.650,19.272,20.636,19.480,19.866,20.399,20.582,19.758,20.725,20.700,20.708,20.584,20.729,20.801,18.497,18.463,21.033,21.264,20.521,18.981,20.869,20.950,18.544,19.089,21.257,19.377,20.527,19.278,20.944,19.713,20.738,20.550,20.511,20.517,20.613,19.266,19.788,19.560,19.749,21.114,21.090,20.733,20.887,21.068,21.184,20.691,20.723,20.661,20.889,20.953,20.690,20.782,20.714,20.652,20.682,20.931,20.873,20.689,20.766,20.990,20.842,20.757,20.567,20.518,19.588,20.905,20.578,20.960,19.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/20:1),17.129,17.220,17.328,17.375,17.107,17.166,17.267,17.076,17.114,17.097,16.856,17.136,17.030,17.196,17.080,17.054,17.313,17.199,17.259,17.171,17.298,17.558,17.204,17.158,17.398,17.245,17.397,17.456,17.109,16.932,17.073,17.363,16.978,17.249,17.164,17.265,17.230,17.141,17.153,17.207,17.079,17.215,17.057,17.179,17.251,17.350,17.193,17.192,17.215,17.561,17.154,17.068,17.335,17.183,17.323,17.536,17.075,17.359,17.427,17.718,17.029,16.846,17.273,17.034,16.967,17.292,17.067,17.156,17.507,17.026,17.083,17.056,17.337,16.859,17.329,17.141,17.241,17.053,16.994,17.510,17.236,17.558,17.246,17.207,17.402,17.018,17.385,17.556,17.676,17.658,17.215,17.245,17.453,16.663,17.601,17.137,17.445,17.345,17.350,17.054,17.016,17.092,16.972,17.345,17.239,17.145,17.331,17.326,17.389,17.258,17.463,17.463,17.305,17.233,17.294,17.278,17.344,16.881,17.634,17.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/20:2)_CoE,18.567,18.927,18.771,18.478,18.758,18.450,18.577,18.397,19.005,18.731,18.629,18.415,18.641,18.663,18.607,18.416,18.496,18.837,18.393,18.491,18.439,18.693,18.965,18.592,18.471,18.350,18.724,18.979,18.517,18.729,18.940,18.954,18.619,18.990,18.708,18.778,18.598,18.788,18.680,18.588,18.499,18.510,17.831,18.513,18.497,18.691,18.703,18.721,18.751,18.605,18.411,18.031,18.373,18.329,18.628,18.616,18.371,18.375,18.650,18.382,18.749,18.807,18.591,18.645,18.854,18.690,18.724,18.761,18.976,18.618,17.675,18.566,18.667,18.437,18.864,18.835,18.712,18.619,18.528,18.699,18.549,18.806,18.647,18.416,18.077,18.489,18.761,18.729,18.671,18.315,18.874,18.828,18.955,18.813,18.893,18.752,18.937,18.961,18.399,18.791,18.675,18.775,18.447,18.666,18.649,18.312,18.469,18.842,18.356,18.746,18.625,18.513,18.793,18.602,18.438,18.346,18.664,18.581,18.880,18.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/20:3),17.208,17.550,17.442,17.037,17.371,17.553,17.219,16.967,17.645,17.370,17.310,17.387,17.445,17.415,17.494,16.932,17.503,17.404,17.498,17.418,17.639,17.539,17.585,17.349,17.181,17.440,17.470,17.740,17.377,16.538,17.418,17.794,17.273,17.641,17.510,17.763,17.783,17.591,17.457,16.782,17.226,17.561,17.212,17.512,17.728,17.842,17.832,17.762,17.874,17.746,17.621,17.681,17.111,16.857,17.523,17.448,17.287,17.094,17.614,17.558,17.316,17.064,17.268,17.600,17.564,17.366,17.351,17.792,17.823,16.993,17.437,17.474,17.786,17.387,17.787,17.813,17.571,17.323,17.532,17.631,17.584,17.671,17.353,17.438,17.442,17.478,17.604,17.557,17.342,17.732,17.790,17.672,17.618,17.192,17.657,17.719,18.014,17.798,17.588,17.542,17.559,17.714,17.400,17.626,17.851,17.569,16.834,17.648,17.249,17.474,17.781,17.405,17.495,17.231,17.149,17.387,17.562,17.150,17.582,17.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/20:4),20.694,20.665,20.800,20.315,20.618,20.839,20.497,20.432,21.024,20.599,20.689,20.952,20.603,20.515,21.000,20.531,20.718,20.747,20.882,20.544,20.865,20.805,20.881,20.733,20.689,20.483,20.735,21.082,20.224,20.476,20.757,20.983,20.430,20.982,20.498,21.107,20.827,20.522,20.580,20.377,20.528,21.093,20.381,20.581,20.674,21.011,21.211,21.262,21.233,20.969,20.602,20.679,20.629,20.620,20.823,20.925,20.340,20.380,20.901,20.646,20.619,20.757,20.822,20.576,20.790,20.974,20.502,20.912,21.228,20.508,20.628,20.836,20.951,20.635,20.925,21.496,20.697,20.620,21.116,21.036,20.890,20.661,21.080,20.764,20.735,20.356,20.549,20.656,20.693,20.833,21.026,21.068,20.825,20.996,21.075,20.893,21.224,20.758,20.615,20.696,20.918,20.832,20.690,20.687,20.710,20.789,21.068,20.999,20.754,20.734,21.163,20.915,20.773,20.647,20.550,20.689,20.768,20.590,20.982,20.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/20:5)_CoE,19.121,18.844,19.147,18.436,18.800,18.787,18.648,18.657,19.027,18.787,19.073,18.698,18.753,18.764,18.903,18.606,18.392,18.830,18.625,18.749,18.649,18.655,18.860,18.667,18.814,18.636,18.598,19.075,18.501,18.719,18.906,19.395,18.901,19.296,18.960,19.070,18.933,18.733,18.853,18.674,18.697,18.893,18.678,18.526,18.864,19.072,19.125,19.236,19.163,19.039,18.672,18.939,18.647,18.916,18.690,19.065,18.335,18.540,18.707,18.494,18.803,19.261,18.902,18.604,18.743,18.979,18.669,19.052,19.272,18.774,18.857,18.657,18.889,18.739,18.961,19.250,18.920,18.847,18.901,19.215,18.938,18.695,19.093,18.633,18.833,18.499,18.572,18.454,18.817,18.670,19.239,19.332,19.054,19.062,19.224,18.922,19.233,18.979,18.924,18.844,19.096,18.940,18.659,19.168,18.930,18.705,18.976,18.997,19.022,18.877,19.126,18.983,18.738,18.438,18.607,18.571,18.589,18.660,18.801,18.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/22:1)_CoE,16.643,16.987,16.860,17.193,16.854,16.892,17.052,16.528,16.886,16.818,16.722,16.972,16.897,17.018,16.738,17.038,17.112,17.320,17.176,17.328,17.227,17.676,17.176,17.015,17.438,17.275,17.376,17.206,16.946,16.721,17.037,16.971,16.489,16.884,16.622,17.112,17.058,16.858,16.771,16.701,17.071,16.934,17.206,17.171,17.042,17.319,16.774,17.126,17.574,17.094,17.382,17.054,17.433,17.070,17.312,17.242,16.965,17.023,17.800,17.800,16.814,16.301,16.744,16.830,16.563,16.956,16.947,17.054,17.051,16.715,16.614,16.968,17.069,16.869,17.138,16.780,17.071,16.682,16.571,17.437,17.581,17.633,17.134,17.282,17.178,17.558,17.522,17.616,17.703,17.360,16.691,16.827,17.091,16.209,16.836,16.702,16.714,17.083,17.110,16.679,16.839,17.090,16.729,16.704,17.076,17.204,17.221,17.394,17.028,17.158,17.327,17.240,17.567,17.316,17.221,17.346,17.342,17.233,17.658,17.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:0/22:6),17.279,17.185,17.338,17.023,16.823,16.653,16.839,16.851,17.118,16.818,17.073,17.123,16.524,16.865,17.460,16.915,17.164,16.784,17.173,16.691,16.895,16.663,16.952,17.022,17.132,16.251,16.529,16.915,16.603,16.816,16.758,17.287,17.146,16.984,17.126,17.098,17.012,16.900,16.464,16.891,16.738,16.986,16.579,16.669,16.471,17.031,17.449,17.398,17.510,17.124,16.801,16.764,17.070,16.889,16.843,17.293,16.347,16.798,16.737,16.460,16.683,17.244,16.822,16.699,16.812,17.422,16.773,16.920,17.450,16.809,17.219,16.713,17.009,16.927,17.077,17.254,17.184,16.890,17.385,17.105,17.111,16.850,17.400,16.888,17.357,16.535,16.768,16.646,16.805,16.829,17.179,16.862,17.048,17.246,17.109,16.992,17.506,17.036,16.685,16.842,17.009,17.066,16.636,17.008,17.111,16.802,17.464,17.035,17.163,17.007,17.383,17.312,16.582,17.050,16.784,16.959,16.576,16.751,16.959,16.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/0:0),16.559,15.604,17.182,20.738,17.447,19.676,16.383,17.168,16.996,16.884,16.435,16.153,16.670,16.162,16.020,15.840,15.194,15.829,15.993,16.990,16.919,16.172,16.820,16.479,17.596,18.634,16.763,17.036,16.695,17.370,16.090,17.281,18.317,17.055,17.479,16.575,17.375,16.741,17.155,17.092,19.088,17.289,18.616,17.443,16.291,16.069,16.151,15.949,15.922,15.619,17.256,16.472,18.297,16.583,16.334,16.680,16.261,16.831,16.243,16.111,16.243,16.331,19.677,17.509,17.418,16.720,16.002,17.882,18.791,16.284,16.064,15.420,16.332,16.726,15.334,16.016,15.226,15.965,16.441,16.573,16.755,16.327,16.627,17.154,16.753,16.978,16.060,16.264,16.770,17.300,16.323,16.766,16.241,17.868,17.036,17.736,16.824,16.796,18.174,17.155,17.097,15.492,16.482,15.926,17.431,16.549,15.777,15.889,16.509,15.359,15.626,15.577,16.130,17.667,16.477,16.243,15.917,16.768,16.077,15.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/18:1)_CoE,20.691,20.743,20.879,20.398,20.812,20.826,20.684,20.523,21.122,20.764,20.638,20.866,20.534,20.538,20.850,20.424,20.614,20.746,20.790,20.644,20.881,20.751,20.895,20.562,20.535,20.614,20.651,21.130,20.531,20.604,20.759,21.156,20.583,21.129,20.835,21.205,21.054,20.811,20.611,20.387,20.527,20.868,20.444,20.602,20.705,21.043,21.124,20.942,21.159,20.886,20.763,20.650,20.718,20.636,20.673,20.979,20.399,20.582,20.698,20.725,20.700,20.708,20.584,20.729,20.801,20.742,20.543,21.033,21.264,20.521,20.248,20.869,20.950,20.668,20.904,21.257,20.611,20.527,20.867,20.944,20.856,20.738,20.550,20.511,20.517,20.613,20.802,20.815,20.664,20.771,21.114,21.090,20.733,20.887,21.068,21.184,20.691,20.723,20.661,20.889,20.953,20.690,20.782,20.714,20.652,20.682,20.931,20.873,20.689,20.766,20.990,20.842,20.757,20.567,20.518,20.619,20.905,20.578,20.960,20.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/18:2),18.551,18.518,18.695,18.104,18.583,19.175,18.728,18.617,19.184,18.881,19.106,19.235,19.130,19.163,19.298,19.165,19.223,19.390,19.324,19.451,19.487,19.492,19.599,19.362,19.245,19.393,19.468,20.119,19.104,19.403,18.796,19.092,18.541,19.092,18.728,19.192,19.317,18.875,18.697,18.947,19.039,19.316,18.854,19.128,19.220,19.823,19.778,19.644,19.652,19.704,19.570,19.308,19.328,19.445,19.465,19.726,19.195,19.477,19.633,19.538,18.620,18.791,18.561,18.647,18.795,18.893,18.867,19.308,19.455,18.726,19.201,19.181,19.517,18.971,19.410,19.827,19.500,19.284,19.592,19.797,19.643,19.517,19.939,19.788,19.420,19.589,19.468,19.515,19.810,19.612,19.290,19.039,18.926,19.050,18.907,19.170,19.346,19.062,19.130,19.005,19.613,19.372,19.240,19.064,19.690,19.497,19.611,19.654,19.657,19.489,19.679,19.528,19.431,19.190,19.304,19.382,19.656,19.368,19.662,19.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/20:1)_CoE,18.567,18.927,18.771,18.478,18.758,18.450,18.577,18.397,19.005,18.731,18.629,18.415,18.641,18.663,18.607,18.416,18.496,18.837,18.393,18.491,18.439,18.693,18.965,18.592,18.471,18.350,18.724,18.979,18.517,18.729,18.940,18.954,18.619,18.990,18.708,18.778,18.598,18.788,18.680,18.588,18.499,18.510,17.831,18.513,18.497,18.691,18.703,18.721,18.751,18.605,18.411,18.031,18.373,18.329,18.628,18.616,18.371,18.375,18.650,18.382,18.749,18.807,18.591,18.645,18.854,18.690,18.724,18.761,18.976,18.618,17.675,18.566,18.667,18.437,18.864,18.835,18.712,18.619,18.528,18.699,18.549,18.806,18.647,18.416,18.077,18.489,18.761,18.729,18.671,18.315,18.874,18.828,18.955,18.813,18.893,18.752,18.937,18.961,18.399,18.791,18.675,18.775,18.447,18.666,18.649,18.312,18.469,18.842,18.356,18.746,18.625,18.513,18.793,18.602,18.438,18.346,18.664,18.581,18.880,18.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/20:3),14.998,15.180,15.804,14.402,14.720,14.836,14.778,14.857,14.904,14.741,15.126,14.673,14.609,14.815,15.724,14.992,15.212,14.726,15.250,14.763,14.855,14.794,14.778,15.286,14.644,14.486,14.614,15.035,14.848,14.707,14.840,15.263,14.717,15.065,15.474,14.789,14.795,14.754,15.208,15.187,14.700,14.793,14.773,14.571,15.503,14.917,14.990,14.803,15.156,15.594,14.718,14.670,15.206,15.010,14.740,15.418,14.486,14.717,14.742,14.789,14.600,14.895,15.367,14.712,14.884,15.673,14.767,15.050,15.195,14.876,15.198,14.857,14.700,15.146,14.979,15.139,14.731,14.959,15.586,14.879,14.825,14.754,15.341,14.753,15.426,14.717,15.130,14.722,15.515,14.676,15.051,15.255,14.992,15.649,15.679,15.004,15.924,15.010,14.832,14.882,14.942,14.841,14.678,15.730,14.694,14.745,15.546,14.944,15.138,14.779,15.500,15.312,14.745,14.551,14.638,15.194,14.796,15.012,14.792,14.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/20:4)_CoE,19.121,18.844,19.147,18.436,18.800,18.787,18.648,18.657,19.027,18.787,19.073,18.698,18.753,18.764,18.903,18.606,18.392,18.830,18.625,18.749,18.649,18.655,18.860,18.667,18.814,18.636,18.598,19.075,18.501,18.719,18.906,19.395,18.901,19.296,18.960,19.070,18.933,18.733,18.853,18.674,18.697,18.893,18.678,18.526,18.864,19.072,19.125,19.236,19.163,19.039,18.672,18.939,18.647,18.916,18.690,19.065,18.335,18.540,18.707,18.494,18.803,19.261,18.902,18.604,18.743,18.979,18.669,19.052,19.272,18.774,18.857,18.657,18.889,18.739,18.961,19.250,18.920,18.847,18.901,19.215,18.938,18.695,19.093,18.633,18.833,18.499,18.572,18.454,18.817,18.670,19.239,19.332,19.054,19.062,19.224,18.922,19.233,18.979,18.924,18.844,19.096,18.940,18.659,19.168,18.930,18.705,18.976,18.997,19.022,18.877,19.126,18.983,18.738,18.438,18.607,18.571,18.589,18.660,18.801,18.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/20:5),14.243,14.217,14.040,14.007,14.008,13.686,13.722,13.787,14.183,13.624,14.209,13.892,14.006,13.993,14.185,13.972,14.054,13.850,14.116,13.610,14.017,13.971,14.232,13.890,13.821,13.243,13.844,14.271,13.703,14.130,14.175,14.266,14.161,14.537,14.157,13.794,13.782,13.899,13.646,13.858,13.571,14.000,13.762,13.390,14.152,14.069,14.252,14.300,14.392,14.298,13.479,13.711,13.946,14.034,13.883,14.029,13.780,13.718,13.872,13.591,13.976,14.585,14.150,13.710,14.136,13.978,13.805,13.919,14.439,13.905,13.984,13.684,13.706,13.813,14.254,14.476,14.109,14.191,14.181,14.069,14.198,14.089,14.693,13.988,13.922,13.447,13.876,13.773,13.699,13.886,14.334,14.049,14.572,14.489,14.307,13.750,14.312,14.278,13.667,13.846,14.023,13.995,13.825,14.164,13.829,13.843,14.076,14.209,14.498,14.061,14.324,14.129,14.046,13.765,14.085,13.887,13.791,14.237,14.100,13.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/22:0)_CoE,16.643,16.987,16.860,17.193,16.854,16.892,17.052,16.528,16.886,16.818,16.722,16.972,16.897,17.018,16.738,17.038,17.112,17.320,17.176,17.328,17.227,17.676,17.176,17.015,17.438,17.275,17.376,17.206,16.946,16.721,17.037,16.971,16.489,16.884,16.622,17.112,17.058,16.858,16.771,16.701,17.071,16.934,17.206,17.171,17.042,17.319,16.774,17.126,17.574,17.094,17.382,17.054,17.433,17.070,17.312,17.242,16.965,17.023,17.800,17.800,16.814,16.301,16.744,16.830,16.563,16.956,16.947,17.054,17.051,16.715,16.614,16.968,17.069,16.869,17.138,16.780,17.071,16.682,16.571,17.437,17.581,17.633,17.134,17.282,17.178,17.558,17.522,17.616,17.703,17.360,16.691,16.827,17.091,16.209,16.836,16.702,16.714,17.083,17.110,16.679,16.839,17.090,16.729,16.704,17.076,17.204,17.221,17.394,17.028,17.158,17.327,17.240,17.567,17.316,17.221,17.346,17.342,17.233,17.658,17.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE(18:1/22:1)_CoE,17.944,18.065,18.094,18.199,17.812,18.029,17.833,17.653,17.983,17.851,18.086,17.952,17.631,17.965,18.082,18.203,18.274,18.212,18.264,18.250,18.117,18.292,18.343,17.961,18.355,18.183,18.321,18.311,18.261,18.286,17.766,18.031,17.840,18.038,17.885,17.994,18.090,17.865,17.841,17.930,17.829,18.025,17.794,18.033,18.130,18.201,17.951,18.173,18.224,18.278,18.321,18.160,18.299,18.160,18.171,18.453,18.187,18.349,18.345,18.519,17.770,17.775,17.973,17.873,17.780,18.001,17.896,18.086,18.163,17.751,18.114,17.990,18.142,17.985,18.144,17.920,18.005,18.138,17.970,18.279,18.244,18.442,18.136,18.126,18.227,18.256,18.525,18.267,18.609,18.390,17.978,18.079,18.047,17.597,18.195,17.941,18.038,18.150,18.179,17.879,18.088,18.035,17.848,18.190,18.272,18.090,18.335,18.315,18.151,18.178,18.466,18.357,18.375,18.106,18.152,18.232,18.334,18.196,18.398,18.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
